SUMLEV,STATE,COUNTY,REGION,DIVISION,ctyname,STNAME,CENSUS2000POP,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,BIRTHS2000,BIRTHS2001,BIRTHS2002,BIRTHS2003,BIRTHS2004,DEATHS2000,DEATHS2001,DEATHS2002,DEATHS2003,DEATHS2004,INTERNATIONALMIG2000,INTERNATIONALMIG2001,INTERNATIONALMIG2002,INTERNATIONALMIG2003,INTERNATIONALMIG2004,INTERNALMIG2000,INTERNALMIG2001,INTERNALMIG2002,INTERNALMIG2003,INTERNALMIG2004,RESIDUAL2000,RESIDUAL2001,RESIDUAL2002,RESIDUAL2003,RESIDUAL2004,CENSUS2000GQPOP,GQESTIMATESBASE2000,GQPOPESTIMATES2000,GQPOPESTIMATES2001,GQPOPESTIMATES2002,GQPOPESTIMATES2003,GQPOPESTIMATES2004
50,49,19,4,8,Grand County,Utah,8485,8380,8407,8497,8640,8682,8712,22,112,122,120,116,14,70,88,82,69,6,18,18,17,17,13,33,92,-12,-36,0,-3,-1,-1,2,106,106,106,106,106,106,106
50,49,21,4,8,Iron County,Utah,33779,33779,33967,34571,35350,35578,36285,185,766,747,734,740,29,158,181,202,205,15,77,73,70,70,13,-71,147,-368,94,4,-10,-7,-6,8,693,693,693,701,732,600,578
50,49,23,4,8,Juab County,Utah,8238,8238,8283,8471,8640,8783,9009,39,171,184,172,152,13,57,40,50,67,0,1,1,1,1,18,74,27,21,140,1,-1,-3,-1,0,101,101,101,101,101,101,101
50,49,25,4,8,Kane County,Utah,6046,6046,6080,5959,6038,6087,6178,24,74,83,90,90,13,69,51,54,62,0,2,2,2,2,24,-127,47,13,61,-1,-1,-2,-2,0,67,67,67,67,67,67,67
50,49,27,4,8,Millard County,Utah,12405,12405,12409,12397,12384,12401,12305,49,189,196,186,164,23,104,101,117,145,6,55,55,54,54,-27,-151,-161,-104,-168,-1,-1,-2,-2,-1,152,152,152,152,152,152,152
50,49,29,4,8,Morgan County,Utah,7129,7129,7162,7307,7423,7487,7614,16,115,89,95,103,5,29,31,35,37,0,4,4,4,4,23,57,55,2,56,-1,-2,-1,-2,1,0,0,0,0,0,0,0
50,49,31,4,8,Piute County,Utah,1435,1435,1438,1400,1382,1380,1393,3,21,18,16,14,7,15,15,21,27,0,0,0,0,0,7,-43,-22,4,25,0,-1,1,-1,1,16,16,16,16,16,16,16
50,49,33,4,8,Rich County,Utah,1961,1961,1967,1951,1953,2028,2054,5,19,22,23,30,3,8,14,17,17,0,4,4,4,4,4,-31,-8,65,9,0,0,-2,0,0,18,18,18,18,18,18,18
50,49,35,4,8,Salt Lake County,Utah,898387,898412,900651,910060,917382,924760,935295,4684,18065,17788,18442,18485,1212,5079,5240,5296,5427,1580,6215,6064,5885,5881,-2840,-10161,-11594,-11920,-8406,27,369,304,267,2,14380,14380,14380,14307,14723,14740,14629
50,49,37,4,8,San Juan County,Utah,14413,14413,14370,13603,13831,13832,14015,46,243,234,239,240,22,87,96,76,54,0,3,3,2,2,-66,-936,93,-162,-6,-1,10,-6,-2,1,254,254,254,254,254,254,254
50,49,39,4,8,Sanpete County,Utah,22763,22763,22809,23210,23364,23560,23649,90,392,397,366,340,42,169,176,171,159,15,79,79,78,77,-18,105,-142,-74,-170,1,-6,-4,-3,1,1380,1380,1380,1388,1362,1260,1414
50,49,41,4,8,Sevier County,Utah,18842,18842,18881,19047,19118,19169,19455,78,352,324,320,310,40,154,158,136,125,1,12,12,12,12,0,-37,-101,-143,88,0,-7,-6,-2,1,427,427,427,439,434,425,427
50,49,43,4,8,Summit County,Utah,29736,29736,29993,30955,31862,32778,33843,112,478,485,467,488,17,103,92,89,101,44,174,170,167,167,118,417,349,376,511,0,-4,-5,-5,0,56,56,56,56,56,56,56
50,49,45,4,8,Tooele County,Utah,40735,40735,41680,43962,46007,48084,49688,264,943,1007,992,964,65,209,230,241,220,16,101,99,97,98,750,1438,1173,1239,758,-20,9,-4,-10,4,1328,1328,1328,1328,1328,1328,1328
50,49,47,4,8,Uintah County,Utah,25224,25224,25271,25776,26238,26316,26671,117,466,497,506,532,49,155,188,192,203,1,11,11,11,11,-22,188,145,-242,13,0,-5,-3,-5,2,248,248,248,247,254,245,247
50,49,49,4,8,Utah County,Utah,368536,368540,370862,382482,391569,397170,403352,2509,10022,10165,10513,10456,358,1606,1614,1734,1897,427,1647,1603,1561,1561,-288,149,-2292,-4748,-3951,32,1408,1225,9,13,9545,9545,9545,10053,10871,9571,8179
50,49,51,4,8,Wasatch County,Utah,15215,15215,15435,16171,16915,17620,18139,85,294,366,390,367,22,75,109,113,110,10,48,49,51,51,151,466,439,381,209,-4,3,-1,-4,2,124,124,124,124,124,124,124
50,49,53,4,8,Washington County,Utah,90354,90354,91235,94602,99605,104498,109924,488,1717,1919,1959,1931,178,674,723,756,775,49,191,186,179,179,548,2157,3652,3539,4098,-26,-24,-31,-28,-7,1359,1359,1359,1437,1521,1475,1430
50,49,55,4,8,Wayne County,Utah,2509,2509,2536,2530,2542,2488,2494,14,39,45,46,34,4,22,16,12,10,0,3,3,3,3,18,-26,-21,-90,-21,-1,0,1,-1,0,7,7,7,7,7,7,7
50,49,57,4,8,Weber County,Utah,196533,196533,197452,200184,203367,205969,208633,1079,3872,3949,4040,3995,322,1388,1429,1388,1400,190,716,703,682,678,-47,-415,-14,-703,-624,19,-53,-26,-29,15,2931,2931,2931,2954,3042,3078,3023
40,50,0,1,1,Vermont,Vermont,608827,608827,609941,612964,616500,619343,621394,1632,6450,6243,6289,6227,1169,5197,5089,5078,5309,195,906,884,868,869,422,1021,1596,858,221,34,-157,-98,-94,43,20760,20760,20760,20760,20760,20760,20760
50,50,1,1,1,Addison County,Vermont,35974,35974,36038,36211,36480,36665,36865,85,369,355,324,299,60,262,254,265,284,13,59,57,56,56,23,16,116,75,126,3,-9,-5,-5,3,2605,2605,2605,2605,2605,2605,2605
50,50,3,1,1,Bennington County,Vermont,36994,36994,36992,36975,37121,37110,36956,87,363,368,342,323,97,417,376,360,342,5,37,37,37,37,1,12,122,-25,-172,2,-12,-5,-5,0,1273,1273,1273,1273,1273,1273,1273
50,50,5,1,1,Caledonia County,Vermont,29702,29702,29762,29745,29976,30115,30464,99,328,311,337,310,60,309,286,288,320,7,32,29,29,29,12,-60,181,64,332,2,-8,-4,-3,-2,958,958,958,958,958,958,958
